                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.1588,                 1.5348,                0.93422,                0.60907,                0.19537,                0.19067,                0.18335,                0.30779,                 0.9805,                0.29279,             0.00033268,             0.00033268,             0.00033268
                      2,                0.12352,                0.81978,                0.90127,                0.76477,                0.16635,                0.16343,                0.15898,                0.20313,                0.67426,                0.21123,             0.00064404,             0.00064404,             0.00064404
                      3,                0.12023,                0.71819,                 0.8983,                0.75198,                0.05202,                0.05269,                0.05269,                0.16595,                0.55141,                0.16937,             0.00093339,             0.00093339,             0.00093339
                      4,                0.10624,                0.63445,                0.89517,                0.73961,                0.04081,                0.04553,                0.04553,                0.17699,                0.57203,                0.16845,               0.000901,               0.000901,               0.000901
